 * Serving Flask app 'app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5005
 * Running on http://10.12.89.224:5005
Press CTRL+C to quit
127.0.0.1 - - [04/Dec/2025 12:18:55] "POST /guestbook HTTP/1.1" 200 -
127.0.0.1 - - [04/Dec/2025 12:18:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [04/Dec/2025 12:18:59] "GET /static/style.css HTTP/1.1" 200 -
127.0.0.1 - - [04/Dec/2025 12:19:01] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Dec/2025 12:19:01] "GET /guestbook HTTP/1.1" 200 -
127.0.0.1 - - [04/Dec/2025 12:19:01] "GET /static/style.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Dec/2025 12:19:02] "GET /admin_area/template_editor.php?folder=../&file=flag.txt HTTP/1.1" 200 -
127.0.0.1 - - [04/Dec/2025 12:19:19] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [04/Dec/2025 12:19:19] "GET /static/style.css HTTP/1.1" 200 -
127.0.0.1 - - [04/Dec/2025 12:19:25] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Dec/2025 12:19:25] "GET /guestbook HTTP/1.1" 200 -
127.0.0.1 - - [04/Dec/2025 12:19:25] "GET /static/style.css HTTP/1.1" 304 -
